Hour,Access,Alcohol,Align,Day,Hit,Light,Collision,Interection,Weather,ADT,Num Lanes,Pav Width,Dr Age,Dr Cond.,Dr Distract,Dr Gender,Num Occ,Veh Year,Violations,Ped Age,Ped Cond.,Ped Inj.,Ped Gender
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,Unk,Normal,Moderate,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Rear End,TRUE,Clear,Over 10000,Four,Very Wide,45-54,Impaired,Unk,Male,Four,2001-2010,Driver Condition,Unk,Impaired,Severe,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Unk,Male,Two,1990 and Before,Unk,35-44,Normal,No Injury,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,2001-2010,No Violations,65-74,Normal,Complaint,Female
12PM-6PM,Unk,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,TRUE,Clear,5001-10000,Two,Wide,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,15-24,Unk,Complaint,Male
12PM-6PM,Unk,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,TRUE,Clear,5001-10000,Two,Wide,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,15-24,Normal,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Abnormal,Unk,No Info.,Unk,75-Inf,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,55-64,Normal,Unk,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,Complaint,Female
6PM-12AM,Partial Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Clear,Over 10000,Two,Wide,45-54,Normal,Unk,Male,One,1991-2000,No Violations,15-24,Impaired,Severe,Female
12AM-6AM,Unk,FALSE,Unk,Weekday,FALSE,Unk,Unk,TRUE,Unk,5001-10000,Two,Wide,15-24,Normal,Unk,Male,Two,1991-2000,No Violations,15-24,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,1991-2000,No Violations,25-34,Impaired,Fatal,Male
6PM-12AM,Partial Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Female,One,1991-2000,No Violations,25-34,Impaired,Fatal,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Clear,Over 10000,Two,Narrow,15-24,Normal,Unk,Female,Two,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Sideswipe,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Other,Unk,Male,One,1991-2000,Careless Operation,45-54,Unk,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Normal,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,65-74,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Normal,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,65-74,Normal,Unk,Male,One,1990 and Before,No Violations,Unk,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,2001-2010,Careless Operation,15-24,Unk,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,5001-10000,Two,Narrow,15-24,Inattentive/Distracted,Unk,Male,Five or more,1991-2000,Careless Operation,35-44,Inattentive/Distracted,Moderate,Female
12PM-6PM,Unk,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,No Injury,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,Three,1991-2000,No Violations,Unk,Normal,Complaint,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - No Street Lights,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,25-34,Unk,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Female,Two,1991-2000,No Violations,Unk,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Female,Three,1991-2000,No Violations,Unk,Normal,Moderate,Female
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Unk,Complaint,Female
6PM-12AM,Partial Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Female,One,1991-2000,Unk,Unk,Normal,Moderate,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,25-34,Impaired,Unk,Male,One,2001-2010,Careless Operation,45-54,Inattentive/Distracted,Fatal,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Unk,Male,One,1991-2000,No Violations,45-54,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,No Violations,25-34,Normal,Complaint,Female
12PM-6PM,No Control,TRUE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Unk,Male,Two,1991-2000,Unk,75-Inf,Normal,Complaint,Male
6PM-12AM,Full Control,TRUE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Abnormal,Over 10000,Six,Very Wide,25-34,Normal,Unk,Male,Two,1991-2000,No Violations,45-54,Impaired,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Unk,FALSE,Clear,5001-10000,Two,Wide,35-44,Normal,Unk,Female,One,1990 and Before,No Violations,25-34,Unk,Severe,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,2001-2010,No Violations,Unk,Normal,Severe,Male
6PM-12AM,Partial Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Sideswipe,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,2001-2010,Careless Operation,15-24,Impaired,Fatal,Male
12AM-6AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Right Angle,FALSE,Clear,2001-5000,Two,Narrow,45-54,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Impaired,Moderate,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Abnormal,Over 10000,Four,Very Wide,65-74,Normal,Unk,Male,One,2001-2010,No Violations,55-64,Inattentive/Distracted,Moderate,Female
6PM-12AM,Partial Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Over 10000,Four,Very Wide,Unk,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Female,Two,1991-2000,Unk,55-64,Normal,Fatal,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Normal,Complaint,Male
6PM-12AM,Unk,TRUE,Unk,Weekend,TRUE,Unk,Single Vehicle,FALSE,Unk,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,25-34,Impaired,Complaint,Male
6AM-12PM,No Control,FALSE,Curve-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Male,One,2001-2010,Failure To Yield,55-64,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Curve-Level,Weekday,FALSE,Daylight,Sideswipe,FALSE,Abnormal,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Unk,Male,One,2001-2010,Careless Operation,Unk,Normal,Complaint,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Clear,Over 10000,Two,Wide,15-24,Normal,Unk,Male,One,1991-2000,Improper Backing,15-24,Normal,Moderate,Male
12PM-6PM,Unk,FALSE,Unk,Weekday,FALSE,Unk,Unk,TRUE,Unk,Unk,No Info.,Unk,15-24,Other,Unk,Male,One,1991-2000,Unk,Unk,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,TRUE,Clear,5001-10000,Two,Wide,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,15-24,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,1991-2000,No Violations,45-54,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Curve-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,2001-5000,Two,Narrow,55-64,Inattentive/Distracted,Unk,Male,One,1990 and Before,Unk,65-74,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Male,One,Unk ,No Violations,15-24,Unk,No Injury,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,2001-5000,Two,Narrow,15-24,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,FALSE,Curve-Level,Weekday,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Clear,2001-5000,Two,Narrow,25-34,Normal,Unk,Female,One,2001-2010,No Violations,15-24,Unk,Complaint,Male
6PM-12AM,Unk,TRUE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,55-64,Impaired,No Injury,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Female,One,1991-2000,Driver Condition,15-24,Normal,No Injury,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,Three,2001-2010,No Violations,25-34,Normal,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Unk,Male,One,1991-2000,Disregarded Traffic Control,15-24,Normal,Complaint,Female
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,35-44,Normal,Complaint,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,1991-2000,No Violations,15-24,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Unk,Female,One,2001-2010,Careless Operation,35-44,Normal,Complaint,Male
6PM-12AM,Partial Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Unk,Male,One,1991-2000,No Violations,15-24,Inattentive/Distracted,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,1990 and Before,No Violations,45-54,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Clear,2001-5000,Two,Narrow,15-24,Normal,Unk,Male,One,2001-2010,No Violations,15-24,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Over 10000,Four,Very Wide,45-54,Inattentive/Distracted,Unk,Male,One,1991-2000,Careless Operation,35-44,Normal,Complaint,Female
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Sideswipe,FALSE,Abnormal,Over 10000,Four,Very Wide,15-24,Impaired,Unk,Female,One,2001-2010,Careless Operation,15-24,Normal,No Injury,Female
6PM-12AM,No Control,TRUE,Curve-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,15-24,Impaired,Unk,Male,Two,Unk ,Driver Condition,Unk,Normal,No Injury,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,0-1000,Two,Narrow,45-54,Normal,Unk,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,45-54,Impaired,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Unk,TRUE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,2001-2010,Failure To Yield,Unk,Unk,Complaint,Female
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,45-54,Inattentive/Distracted,Unk,Male,Three,1991-2000,Failure To Yield,45-54,Normal,Moderate,Female
12PM-6PM,Unk,FALSE,Straight-Level,Weekend,TRUE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Male,One,Unk ,Unk,35-44,Inattentive/Distracted,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Male,Two,Unk ,Unk,Unk,Unk,Moderate,Male
12PM-6PM,Unk,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,2001-5000,Two,Narrow,15-24,Inattentive/Distracted,Unk,Female,One,2001-2010,Cut Corner On Left Turn,45-54,Unk,Complaint,Female
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Unk,Female,One,1991-2000,Careless Operation,Unk,Normal,Fatal,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Unk,Female,One,1991-2000,Careless Operation,35-44,Normal,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Abnormal,5001-10000,Two,Wide,45-54,Normal,Unk,Female,Two,1990 and Before,No Violations,55-64,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,FALSE,Abnormal,2001-5000,Two,Narrow,35-44,Normal,Unk,Female,Three,1990 and Before,No Violations,15-24,Inattentive/Distracted,Moderate,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,1991-2000,No Violations,35-44,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,Unk ,Unk,15-24,Normal,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Unk,Male,One,Unk ,Unk,Unk,Normal,No Injury,Female
